0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-1,0,0,0,-1,-1,0,1,0,-2,-2,1,0,0,0,0,-2,0,0,1,-1,0,
0,0,0,0,0,-3,-2,3,1,-1,-1,1,-3,1,0,0,-3,3,1,2,-1,0,
0,0,0,0,-1,-5,-2,4,1,-1,-2,1,-5,2,0,0,-5,3,2,1,-2,-3,
-1,0,2,0,0,-3,-2,4,2,-1,0,2,-6,3,0,-2,-9,2,3,0,0,-3,
-2,0,3,0,-1,-4,-1,4,3,-2,0,4,-6,2,-5,-3,-13,2,4,-1,0,-2,
0,2,4,1,0,-5,-2,0,3,0,3,4,-6,0,-6,-3,-11,3,5,-5,1,0,
1,0,2,2,2,-1,-2,-1,3,0,2,4,-6,-1,-6,-4,-11,0,4,-7,1,-4,
4,0,2,2,2,2,-6,-6,1,-2,5,5,-6,-1,-6,-3,-11,0,4,-5,1,0,
9,-3,-1,2,2,3,-9,-10,0,-4,3,7,-5,-1,-6,-1,-8,1,4,-3,0,-1,
13,-4,0,0,6,7,-10,-11,0,-4,1,7,-5,-2,-2,0,-4,2,4,0,-1,-3,
