0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,-1,0,0,0,0,-1,1,0,0,-1,1,-1,5,0,0,1,1,0,4,-3,0,
0,-1,-3,2,0,-2,-3,3,-2,1,1,1,1,8,1,3,3,5,0,8,-1,1,
-2,-2,-4,4,-3,-1,0,1,-7,2,5,1,3,14,0,4,8,10,0,12,0,0,
-2,-2,-4,6,-2,-1,1,2,-7,4,6,2,5,20,0,6,10,9,-1,17,-2,3,
-2,-1,-6,8,-1,-3,1,0,-8,3,12,1,5,24,2,7,14,14,0,21,-1,4,
-7,0,-10,7,-2,-4,3,-1,-10,3,11,1,8,22,3,6,15,15,-2,19,3,5,
-5,-1,-8,5,-3,-4,7,-1,-10,3,11,-1,6,24,3,4,18,14,0,17,3,4,
-2,-1,-10,1,0,-3,2,1,-11,0,12,0,3,18,7,4,17,9,1,18,0,3,
0,-1,-12,-1,-5,-2,0,1,-13,-3,15,0,3,15,8,3,16,14,4,14,1,0,
1,-1,-13,-4,-5,0,0,3,-13,-3,6,2,6,12,9,5,16,12,8,14,0,-1,
3,-1,-12,-1,-4,1,-1,5,-11,0,11,2,7,12,11,7,17,15,12,16,0,2,
2,0,-14,-3,-4,5,-2,2,-8,0,11,6,6,10,11,9,15,14,12,17,-1,3,
1,0,-14,1,-2,3,-1,0,-7,0,11,4,6,11,10,11,10,16,10,12,0,3,
-3,0,-12,4,3,2,1,-2,-5,1,4,5,6,11,6,7,9,14,8,12,1,2,
-5,1,-10,5,2,2,1,-1,-5,1,9,1,4,12,0,2,6,13,5,8,3,3,
-3,1,-7,4,2,3,4,-4,-7,-1,7,-1,2,10,-3,1,3,10,4,4,3,-4,
1,2,-3,7,1,2,4,-4,-7,-1,7,-3,-3,7,-4,0,-2,8,1,3,3,-6,
0,1,1,6,0,2,2,-4,-5,2,7,-5,-6,6,-6,-2,-3,8,4,3,1,-5,
1,-2,2,4,0,2,2,-3,-6,3,13,-9,-6,3,-4,-2,-4,8,4,3,1,-3,
